Tissue,NumberRNASeqandGTSamples,NumberRNASeqSamples,Number_of_eGenes,Filename
Muscle - Skeletal,706,803,13532,Muscle_Skeletal.allpairs.txt.gz
Whole Blood,670,755,12360,Whole_Blood.allpairs.txt.gz
Skin - Sun Exposed (Lower leg),605,701,16967,Skin_Sun_Exposed_Lower_leg.allpairs.txt.gz
Artery - Tibial,584,663,15008,Artery_Tibial.allpairs.txt.gz
Adipose - Subcutaneous,581,663,15607,Adipose_Subcutaneous.allpairs.txt.gz
Thyroid,574,653,17684,Thyroid.allpairs.txt.gz
Nerve - Tibial,532,619,17285,Nerve_Tibial.allpairs.txt.gz
Skin - Not Sun Exposed (Suprapubic),517,604,15483,Skin_Not_Sun_Exposed_Suprapubic.allpairs.txt.gz
Lung,515,578,14113,Lung.allpairs.txt.gz
Esophagus - Mucosa,497,555,14675,Esophagus_Mucosa.allpairs.txt.gz
Cells - Cultured fibroblasts,483,504,15219,Cells_Cultured_fibroblasts.allpairs.txt.gz
Adipose - Visceral (Omentum),469,541,12482,Adipose_Visceral_Omentum.allpairs.txt.gz
Esophagus - Muscularis,465,515,14110,Esophagus_Muscularis.allpairs.txt.gz
Breast - Mammary Tissue,396,459,10872,Breast_Mammary_Tissue.allpairs.txt.gz
Artery - Aorta,387,432,12493,Artery_Aorta.allpairs.txt.gz
Heart - Left Ventricle,386,432,9642,Heart_Left_Ventricle.allpairs.txt.gz
Heart - Atrial Appendage,372,429,10991,Heart_Atrial_Appendage.allpairs.txt.gz
Colon - Transverse,368,406,11686,Colon_Transverse.allpairs.txt.gz
Esophagus - Gastroesophageal Junction,330,375,10534,Esophagus_Gastroesophageal_Junction.allpairs.txt.gz
Stomach,324,359,8771,Stomach.allpairs.txt.gz
Testis,322,361,18795,Testis.allpairs.txt.gz
Colon - Sigmoid,318,373,10550,Colon_Sigmoid.allpairs.txt.gz
Pancreas,305,328,9660,Pancreas.allpairs.txt.gz
Pituitary,237,283,9146,Pituitary.allpairs.txt.gz
Adrenal Gland,233,258,8123,Adrenal_Gland.allpairs.txt.gz
Spleen,227,241,10783,Spleen.allpairs.txt.gz
Prostate,221,245,7356,Prostate.allpairs.txt.gz
Artery - Coronary,213,240,6296,Artery_Coronary.allpairs.txt.gz
Brain - Cerebellum,209,241,11240,Brain_Cerebellum.allpairs.txt.gz
Liver,208,226,5734,Liver.allpairs.txt.gz
Brain - Cortex,205,255,9082,Brain_Cortex.allpairs.txt.gz
Brain - Nucleus accumbens (basal ganglia),202,246,8198,Brain_Nucleus_accumbens_basal_ganglia.allpairs.txt.gz
Brain - Caudate (basal ganglia),194,246,8362,Brain_Caudate_basal_ganglia.allpairs.txt.gz
Brain - Cerebellar Hemisphere,175,215,10027,Brain_Cerebellar_Hemisphere.allpairs.txt.gz
Brain - Frontal Cortex (BA9),175,209,7335,Brain_Frontal_Cortex_BA9.allpairs.txt.gz
Small Intestine - Terminal Ileum,174,187,6681,Small_Intestine_Terminal_Ileum.allpairs.txt.gz
Brain - Hypothalamus,170,202,5499,Brain_Hypothalamus.allpairs.txt.gz
Brain - Putamen (basal ganglia),170,205,6902,NA
Ovary,167,180,5542,Ovary.allpairs.txt.gz
Brain - Hippocampus,165,197,5517,Brain_Hippocampus.allpairs.txt.gz
Brain - Anterior cingulate cortex (BA24),147,176,5640,Brain_Anterior_cingulate_cortex_BA24.allpairs.txt.gz
Cells - EBV-transformed lymphocytes,147,174,4934,Cells_EBV-transformed_lymphocytes.allpairs.txt.gz
Minor Salivary Gland,144,162,4836,Minor_Salivary_Gland.allpairs.txt.gz
Vagina,141,156,3730,Vagina.allpairs.txt.gz
Brain - Amygdala,129,152,3726,Brain_Amygdala.allpairs.txt.gz
Uterus,129,142,3577,Uterus.allpairs.txt.gz
Brain - Spinal cord (cervical c-1),126,159,4483,Brain_Spinal_cord_cervical_c-1.allpairs.txt.gz
Brain - Substantia nigra,114,139,3301,Brain_Substantia_nigra.allpairs.txt.gz
Kidney - Cortex,73,85,1260,NA
Bladder,21,21,null,NA
Cervix - Endocervix,10,10,null,NA
Cervix - Ectocervix,9,9,null,NA
Fallopian Tube,8,9,null,NA
Kidney - Medulla,4,4,null,NA
